frequency_GHz,TE_reflection_real,TE_reflection_imag,TE_reflection_dB,TM_reflection_real,TM_reflection_imag,TM_reflection_dB
10.880000,-0.12894583,-0.1294279,-14.765318,-0.13470015,-0.13004359,-14.552442
10.884000,-0.13064489,-0.12883543,-14.728,-0.13641773,-0.12940108,-14.515561
10.888000,-0.13234402,-0.12822476,-14.690767,-0.13813484,-0.12874,-14.478769
10.892000,-0.134043,-0.12759582,-14.65362,-0.13985124,-0.12806029,-14.442068
10.896000,-0.13574159,-0.12694854,-14.616562,-0.14156671,-0.12736188,-14.405461
10.900000,-0.13743957,-0.12628285,-14.579593,-0.14328099,-0.12664472,-14.368949
10.904000,-0.13913669,-0.12559869,-14.542718,-0.14499385,-0.12590874,-14.332535
10.908000,-0.14083273,-0.12489599,-14.505937,-0.14670504,-0.12515389,-14.296221
10.912000,-0.14252743,-0.12417471,-14.469253,-0.14841432,-0.12438013,-14.260009
10.916000,-0.14422057,-0.12343477,-14.432668,-0.15012143,-0.1235874,-14.2239
10.920000,-0.1459119,-0.12267615,-14.396184,-0.15182612,-0.12277567,-14.187897
10.924000,-0.14760116,-0.12189878,-14.359804,-0.15352815,-0.12194489,-14.152003
10.928000,-0.14928812,-0.12110263,-14.323528,-0.15522725,-0.12109503,-14.116218
10.932000,-0.15097251,-0.12028765,-14.28736,-0.15692316,-0.12022607,-14.080545
10.936000,-0.1526541,-0.11945381,-14.251301,-0.15861563,-0.11933796,-14.044986
10.940000,-0.15433262,-0.11860109,-14.215353,-0.16030439,-0.1184307,-14.009544
10.944000,-0.15600781,-0.11772945,-14.179519,-0.16198919,-0.11750427,-13.974219
10.948000,-0.15767943,-0.11683887,-14.1438,-0.16366975,-0.11655864,-13.939014
10.952000,-0.1593472,-0.11592933,-14.108199,-0.16534581,-0.11559382,-13.903931
10.956000,-0.16101087,-0.11500083,-14.072717,-0.1670171,-0.1146098,-13.868972
10.960000,-0.16267017,-0.11405334,-14.037356,-0.16868335,-0.11360658,-13.834139
10.964000,-0.16432484,-0.11308687,-14.002119,-0.1703443,-0.11258416,-13.799434
10.968000,-0.16597461,-0.11210141,-13.967008,-0.17199966,-0.11154256,-13.764858
10.972000,-0.16761922,-0.11109697,-13.932024,-0.17364916,-0.11048179,-13.730414
10.976000,-0.16925839,-0.11007356,-13.897169,-0.17529254,-0.10940186,-13.696104
10.980000,-0.17089186,-0.1090312,-13.862445,-0.17692951,-0.10830281,-13.661928
10.984000,-0.17251934,-0.10796989,-13.827855,-0.1785598,-0.10718465,-13.62789
10.988000,-0.17414058,-0.10688966,-13.7934,-0.18018313,-0.10604744,-13.593991
10.992000,-0.1757553,-0.10579054,-13.759081,-0.18179922,-0.10489119,-13.560233
10.996000,-0.17736323,-0.10467256,-13.724902,-0.1834078,-0.10371597,-13.526618
11.000000,-0.17896408,-0.10353577,-13.690863,-0.18500858,-0.10252182,-13.493147
11.004000,-0.18055759,-0.1023802,-13.656966,-0.1866013,-0.10130878,-13.459822
11.008000,-0.18214348,-0.1012059,-13.623214,-0.18818566,-0.10007693,-13.426646
11.012000,-0.18372147,-0.10001292,-13.589608,-0.18976139,-0.098826331,-13.393619
11.016000,-0.18529129,-0.098801323,-13.556149,-0.19132821,-0.097557044,-13.360743
11.020000,-0.18685266,-0.097571172,-13.522841,-0.19288584,-0.09626915,-13.328021
11.024000,-0.18840531,-0.096322533,-13.489684,-0.19443401,-0.094962728,-13.295454
11.028000,-0.18994896,-0.09505548,-13.456679,-0.19597243,-0.093637865,-13.263043
11.032000,-0.19148334,-0.093770093,-13.42383,-0.19750082,-0.092294652,-13.23079
11.036000,-0.19300816,-0.092466453,-13.391137,-0.19901892,-0.090933185,-13.198697
11.040000,-0.19452316,-0.091144652,-13.358602,-0.20052643,-0.089553566,-13.166765
11.044000,-0.19602806,-0.089804782,-13.326227,-0.20202309,-0.088155902,-13.134996
11.048000,-0.19752259,-0.088446944,-13.294013,-0.20350863,-0.086740307,-13.103392
11.052000,-0.19900647,-0.087071243,-13.261963,-0.20498276,-0.085306896,-13.071954
11.056000,-0.20047944,-0.085677789,-13.230076,-0.20644522,-0.083855795,-13.040683
11.060000,-0.20194121,-0.084266696,-13.198356,-0.20789573,-0.082387132,-13.009581
11.064000,-0.20339154,-0.082838087,-13.166803,-0.20933403,-0.08090104,-12.97865
11.068000,-0.20483013,-0.081392087,-13.13542,-0.21075985,-0.079397659,-12.94789
11.072000,-0.20625674,-0.079928827,-13.104207,-0.21217293,-0.077877133,-12.917304
11.076000,-0.20767109,-0.078448445,-13.073166,-0.21357299,-0.076339613,-12.886893
11.080000,-0.20907293,-0.076951081,-13.042298,-0.21495977,-0.074785252,-12.856657
11.084000,-0.21046198,-0.075436883,-13.011606,-0.21633303,-0.073214213,-12.826599
11.088000,-0.211838,-0.073906003,-12.981089,-0.21769249,-0.071626659,-12.79672
11.092000,-0.21320072,-0.072358599,-12.95075,-0.21903791,-0.070022762,-12.76702
11.096000,-0.21454989,-0.070794832,-12.92059,-0.22036903,-0.068402698,-12.737502
11.100000,-0.21588526,-0.069214872,-12.89061,-0.22168561,-0.066766647,-12.708166
11.104000,-0.21720658,-0.067618889,-12.860812,-0.22298739,-0.065114796,-12.679014
11.108000,-0.21851359,-0.066007063,-12.831196,-0.22427413,-0.063447335,-12.650047
11.112000,-0.21980607,-0.064379575,-12.801764,-0.22554559,-0.06176446,-12.621265
